county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,FIPs,climate_zone,matched_station_fip,distance
Marshall,Marshall,Marshall County,19127,IA,Iowa,42.0358,-92.9988,40137,G1901270,5A,G1901270,7.729585959
Amador,Amador,Amador County,6005,CA,California,38.4464,-120.6511,40095,G0600050,4B,G0601090,33.1088788
LaGrange,LaGrange,LaGrange County,18087,IN,Indiana,41.6426,-85.4265,40085,G1800870,5A,G2601490,12.07116957
Mecosta,Mecosta,Mecosta County,26107,MI,Michigan,43.6408,-85.3246,40051,G2601070,6A,G2601070,12.92337561
Mower,Mower,Mower County,27099,MN,Minnesota,43.6715,-92.7525,39985,G2700990,6A,G2700990,12.48859467
Avoyelles,Avoyelles,Avoyelles Parish,22009,LA,Louisiana,31.0763,-92.0015,39880,G2200090,2A,G2200090,8.392015185
Snyder,Snyder,Snyder County,42109,PA,Pennsylvania,40.7698,-77.0702,39877,G4201090,5A,G4201090,14.69540772
Murray,Murray,Murray County,13213,GA,Georgia,34.7884,-84.7481,39853,G1302130,4A,G1303130,9.540531309
Howell,Howell,Howell County,29091,MO,Missouri,36.774,-91.8865,39753,G2900910,4A,G2900910,7.596850922
Okeechobee,Okeechobee,Okeechobee County,12093,FL,Florida,27.3864,-80.8886,39716,G1200930,2A,G1200930,8.679425434
Sequoyah,Sequoyah,Sequoyah County,40135,OK,Oklahoma,35.4953,-94.7552,39652,G4001350,3A,G4001350,5.161264584
Waldo,Waldo,Waldo County,23027,ME,Maine,44.5028,-69.1454,39618,G2300270,6A,G2300130,30.56181655
Harrison,Harrison,Harrison County,18061,IN,Indiana,38.1951,-86.1114,39516,G1800610,4A,G2100930,22.73396576
Latah,Latah,Latah County,16057,ID,Idaho,46.8162,-116.7117,39464,G1600570,5B,G5300750,27.93028274
Hendry,Hendry,Hendry County,12051,FL,Florida,26.5535,-81.1659,39439,G1200510,2A,G1200710,40.76448906
Fremont,Fremont,Fremont County,56013,WY,Wyoming,43.0405,-108.6304,39434,G5600130,6B,G5600430,79.50780877
Campbell,Campbell,Campbell County,47013,TN,Tennessee,36.4035,-84.1494,39388,G4700130,4A,G4700010,26.94277383
Wayne,Wayne,Wayne County,54099,WV,West Virginia,38.1459,-82.427,39337,G5400990,4A,G5400990,17.47951676
Mayes,Mayes,Mayes County,40097,OK,Oklahoma,36.3019,-95.2307,39303,G4000970,3A,G4001310,17.18295537
Union,Union,Union County,5139,AR,Arkansas,33.1713,-92.5972,39262,G0501390,3A,G0501390,15.38447294
Jim Wells,Jim Wells,Jim Wells County,48249,TX,Texas,27.7314,-98.0899,39203,G4802490,2A,G4802490,4.53780833
Dallas,Dallas,Dallas County,1047,AL,Alabama,32.326,-87.1065,39162,G0100470,3A,G0100130,47.71649464
Des Moines,Des Moines,Des Moines County,19057,IA,Iowa,40.9232,-91.1815,39069,G1900570,5A,G1900570,10.4518948
Crawford,Crawford,Crawford County,20037,KS,Kansas,37.5073,-94.8518,39018,G2000370,4A,G2900970,34.73389025
Person,Person,Person County,37145,NC,North Carolina,36.39,-78.9718,38999,G3701450,4A,G3701450,7.311435685
Webster,Webster,Webster County,29225,MO,Missouri,37.2809,-92.8759,38978,G2902250,4A,G2900770,36.48685696
Susquehanna,Susquehanna,Susquehanna County,42115,PA,Pennsylvania,41.8214,-75.8007,38892,G4201150,6A,G3600070,30.11698875
Warren,Warren,Warren County,42123,PA,Pennsylvania,41.8145,-79.2741,38791,G4201230,5A,G3600130,23.43963219
Douglas,Douglas,Douglas County,27041,MN,Minnesota,45.9338,-95.4535,38742,G2700410,6A,G2700410,6.136005935
Oconto,Oconto,Oconto County,55083,WI,Wisconsin,45.0264,-88.2697,38691,G5500830,6A,G5501150,25.6770074
Champaign,Champaign,Champaign County,39021,OH,Ohio,40.1377,-83.7695,38678,G3900210,5A,G3900230,21.52810576
Gloucester,Gloucester,Gloucester County,51073,VA,Virginia,37.416,-76.5434,38586,G5100730,4A,G5100950,12.00765955
Woodford,Woodford,Woodford County,17203,IL,Illinois,40.7883,-89.2113,38571,G1702030,5A,G1701230,20.0158763
Guernsey,Guernsey,Guernsey County,39059,OH,Ohio,40.052,-81.4943,38542,G3900590,5A,G3901190,28.50412651
Colleton,Colleton,Colleton County,45029,SC,South Carolina,32.8636,-80.6669,38520,G4500290,3A,G4500130,26.55220747
Brown,Brown,Brown County,46013,SD,South Dakota,45.5898,-98.3516,38471,G4600130,6A,G4600130,10.22061302
Williams,Williams,Williams County,38105,ND,North Dakota,48.3437,-103.4802,38460,G3801050,7,G3000830,66.10719925
Finney,Finney,Finney County,20055,KS,Kansas,38.0443,-100.737,38338,G2000550,4A,G2000550,8.155681003
Defiance,Defiance,Defiance County,39039,OH,Ohio,41.3239,-84.4905,38329,G3900390,5A,G3900390,4.364161377
Isle of Wight,Isle of Wight,Isle of Wight County,51093,VA,Virginia,36.8912,-76.7259,38301,G5100930,4A,G5108000,16.81718916
Scott,Scott,Scott County,29201,MO,Missouri,37.053,-89.5686,38161,G2902010,4A,G2902010,11.89805918
Graham,Graham,Graham County,4009,AZ,Arizona,32.9326,-109.8875,38145,G0400090,3B,G0400090,18.2709332
Lawrence,Lawrence,Lawrence County,29109,MO,Missouri,37.1064,-93.833,38123,G2901090,4A,G2900090,18.50626115
Pontotoc,Pontotoc,Pontotoc County,40123,OK,Oklahoma,34.728,-96.6844,38102,G4001230,3A,G4001230,5.337805466
Brown,Brown,Brown County,48049,TX,Texas,31.7742,-98.9998,38085,G4800490,3A,G4800490,3.879347736
Franklin,Franklin,Franklin County,17055,IL,Illinois,37.9923,-88.9242,38068,G1700550,4A,G1700810,23.32746056
Montgomery,Montgomery,Montgomery County,18107,IN,Indiana,40.0404,-86.8933,37967,G1801070,5A,G1801570,25.87972405
Cass,Cass,Cass County,18017,IN,Indiana,40.7615,-86.346,37918,G1800170,5A,G1800490,23.92194742
Natchitoches,Natchitoches,Natchitoches Parish,22069,LA,Louisiana,31.7234,-93.0962,37896,G2200690,3A,G2200690,0.892768665
